id,peer_username,peer_participants_count,date,fwd_id,type,views,text
24933,jazbomoraghebe,67301,1397/01/21 19:31:13,,audio,159692,بهترین زمان انجام صبح زود یا شب قبل خواب🙏 #چله_قانون_جذب #روز_سی_نهم  #دکتربرازنده  @jazbomoraghebe 💫  https://instagram.com/_u/jazbomoraghebe
30457,bbcpersian,981254,1397/07/23 13:31:23,,text,243271,"🔴عضو شورای شهر: محمدعلی افشانی، شهردا تهران شامل قانون منع به کارگیری بازنشستگان می‌شود  🔹الهام فخاری، عضو شورای شهر تهران در توییتر خود با اشاره به قانون منع به کارگیری بازنشستگان نوشت که محمد علی افشانی، شهردار تهران شامل این قانون می‌شود. @BBCPersian https://bbc.in/2CLjd4s"
148965,akharinkhabar,3319415,1397/09/05 16:21:26,,photo,205443,"🔺دادسرای عمومی و انقلاب تهران طی اطلاعیه‌ای انتساب خبر علنی بودن برگزاری دادگاه عراقچی به جعفری دولت‌آبادی دادستان تهران را که شنبه شب از برخی از شبکه‌های صدا و سیما اعلام شد، تکذیب کرد/ فارس  🔹نصب اپ آخرین خبر👇 http://akhr.ir/NChX"
158906,Khabar_Fouri,1444085,1398/05/08 20:33:46,,photo,167741,طرح شکایت ستاره اسکندری در دادگاه ویژه روحانیت  💥برای مطالعه وارد شوید👉 ✅ @Khabar_Fouri
158440,esteghlalpage,2078762,1398/05/01 11:47:27,,photo,141365,"مباشری: پرسپولیس فقط 30 میلیارد مالیات بیشتر از ما بدهکار است. یک‌‌بار کسی نوشت؟ یک‌‌بار کسی گزارش داد؟ همه افتاده‌‌اند دنبال اخبار بد استقلال. ما پنج میلیارد روی گردنمان داریم که باید زود پرداخت کنیم. نخستین پولی هم به پادوانی می‌‌رسد. حدود 10 میلیارد هم شکایتی است که برای «‌‌ای‌‌اف‌‌سی» داریم. با 15 میلیارد این پرونده‌‌ها را می‌‌بندیم  از کلیه طلبکاران عذرخواهی می‌‌کنم. ممنونیم که تا امروز تحمل کرده‌‌اید. به‌‌محض رسیدن پول در خدمت شما هستیم  دو ماه پیش به پادوانی پول پرداخت کردیم. تا دو هفته دیگر هم پولش را تکمیل می‌‌کنیم و حسابش را می‌‌بندیم. نکته‌‌ای را از ته دل می‌‌گویم. در باشگاه استقلال همه عاشق پادوانی هستند. درمورد پول هم حق با اوست. دیگر خودتان می‌‌دانید چقدر درگیر مسائل مالی و بدهی‌‌های مختلف هستیم. او در فهرست طلبکاران پنج میلیاردی است، یعنی در اولین سری پرداخت. اگر استوری هم نمی‌‌گذاشت در این فهرست بود. او برای ما سلامتی‌‌اش را داده است  🆔 @EsteghlalPage"
89804,kafiha,607182,1396/12/19 09:50:48,,photo,153301,"لامصب اینقدر ظالم نباش، کمر شادمهرو شکستی   MM_MO Natali @kafiha"
191819,akharinkhabar,3304757,1398/08/12 09:25:07,,text,145486,"🔺رئیس مجلس: لازم نیست سایر مقامات آمریکا برای مردم ایران دلسوزی کنند، بهتر است فکری برای دهان آقای ترامپ کنند  🔹لاریجانی: ظاهرا آقای ترامپ متوجه نیست که خاک و نفت سوریه متعلق به دولت و ملت این کشور است و آمریکا حق ندارد با تجاوز به خاک آن کشور و تصرف میادین نفتی قصد غارت آن را داشته باشد 🔹آقای ترامپ توجه دارد که دولت و ارتش آمریکا در عراق تلاش زیادی کردند تا نفت را در کنترل خود قرار دهند ولی مرجعیت بیدار نجف و رهبران شرافتمند و ملت عراق بودند که اجازه این خیانت را ندادند 🔹لازم نیست سایر مقامات آمریکا برای مردم ایران دلسوزی کنند، بهتر است فکری برای دهان آقای ترامپ کنند. که آنگونه ماهیت ضد بشری آنها نزد جهانیان آشکار می‌کند  @Akharinkhabar"
170188,esteghlalpage,2078762,1398/08/12 13:44:54,,photo,139227,"حق پخش، رکن اساسی برای خصوصی سازی استقلال و پرسپولیس  بیگ زاده، نماینده سازمان بورس: دارایی بزرگ دیگر دو باشگاه استقلال و پرسپولیس حق پخش تلویزیونی است و از انجایی که مردم خریداران سهام دو باشگاه خواهند بود به همین جهت باید وضعیت حق پخش آنها کاملا شفاف و روشن شود.  🆔 @EsteghlalPage"
42259,mamlekate,293638,1398/02/02 22:25:25,,video,182981,"‏فقط در ایرانه که میشه صبح‌جمعه برای مردم بینوا در نمازجمعه بگی: به ‎درک که فشارهای تحریم بیشتر میشود. بعد شنبه شب بری لاکچری‌ترین بازار ایران را افتتاح کنی. از ‎#مال، فقط فشارش ‎مال مردمه. ایرانش مال دیگران...  داوود @mamlekate"
48757,sedaiemardom,405602,1398/07/15 00:57:06,,video,311346,🔴 شامگاه ۱۴ مهرماه: قیام مردم شیعه‌ی شهر ذی‌قار عراق علیه ظلم و ستم جمهوری اسلامی و وابستگان آن  🆔 @Sedaiemardom
3520,sh_n_halloo,35159,1397/03/01 20:41:24,,text,132225,".  احمد شاملو در خاطرات خود مینویسد ،،،، پس از پیروزی انقلاب 57  بنا به  دوستی و اشنایی که با  ژان پل سارتر نویسنده و فیلسوف نامدار فرانسوی داشتم   و سرمست از سرنگونی رژیم گذشته بودم ،، نامه ای به سارتر نوشتم و در انتهای  نامه نوشتم جناب سارتر شما  از این بابت  پیروزی انقلاب  به  ما  تبریک  نگفتید ؟!   شاملو در خاطرات خود ادامه میدهد  سارتر بزرگ  به من  جوابی داد ، که تا سالهای سال هنوز در مغزمن درنگ میدهد،،،   سارتر نوشت ، *شما چگونه قیامی که رهبران ان روحانی و نتیجه ان  حاکمیت حکومت مذهبی و روحانیون گردیده را  انقلاب می نامید ؟!  مگرنه  اینکه انقلاب دگرگونی رو به جلو است،، شما برگشت به قهقرا  کرده اید  این  انقلاب نیست،،،  سارتر ادامه میدهد شما در اینده ناچار مجبور به انقلاب واقعی خواهید بود،، و ان رخدادی چون رنسانس اروپا است. یعنی به زیر کشیدن مذهب از اریکه قدرت که هیچ زبانی جز انقلاب متاسفانه  آن را  چاره ساز  نیست ،،،*👇 شب نشینی هالو  @sh_n_halloo کانال اشعار #هالو  @mrhallo"
80826,varzesh3,1139580,1398/02/20 13:41:07,,webpage,339605,🎥 صحبت های مهم علی کفاشیان درباره قرارداد کی‌روش (لینک ویدئو)  🎥 انتقاد علی کفاشیان از عدم رعایت حق پخش در ایران (لینک ویدئو)  🎥 صحبت های علی کفاشیان از سرمربی آینده تیم ملی تا فساد در فوتبال (لینک ویدئو)  ➖ ➖ ➖ ➖ ➖ ➖ ➖ @varzesh3
136635,Khabar_Fouri,1444085,1397/11/13 08:11:18,,photo,260361,خط فقر بالای ۳.۵ میلیون تومان؛ حقوق کارگر ۱.۲ میلیون تومان  🔹در شرایطی که خط فقر بالای ۳.۵ میلیون تومان است اما حقوق کارگران یک میلیون و ۲۰۰ هزار تومان است. به اعتقاد کارشناسان اقتصادی طی یکسال اخیر شاهد رشد فقر نسبی بوده ایم که بخش قابل توجهی از آنها کارگران بوده اند. /تسنیم #اقتصادی  ✅ @Khabar_Fouri
101601,Khabare_vije,2282723,1397/01/14 12:19:58,,text,151768,"♦️کام مردم را تلخ نکنید!  واکنش روحانی به خبر فیلترینگ تلگرام:  بنای نظام بر رفع انحصار از فضای پیام رسانها بوده است نه فیلتر و بستن فضای مجازی  🔹روحانی ادامه داد: کام مردم را با اینگونه حرفها تلخ نکنید، در فضای بحران 'بیکاری' تیشه به ریشه اشتغال نزنید./ اسکان نیوز  @khabare_vijeh100"
42574,sedaiemardom,405602,1398/04/13 12:24:50,,photo,232103,"🔴 حکومت دیکتاتوری فردی #استبداد_فقیه/ وزیر «ملتمس به مادر»: اگر مقام معظم رهبری اجازه را صادر کنند، مذاکره میان ایران و آمریکا انجام خواهد شد.  ▪️سرنوشت ۸۰ میلیون ایرانی در دستان یک ناقص‌العقل و ناقص‌الجسم قرار دارد. همین‌ها بر حکومت پهلوی به دلیل «شاهنشاهی» بودن شوریدند اما به جای یک شاه، ۴۰ شاه بر جای او نشست!  🆔 @Sedaiemardom"
76816,iranfnews,2718628,1398/02/31 19:03:27,,photo,101447,"مهرداد بذرپاش در جمع شورای مرکزی جمعیت وفاداران انقلاب اسلامی: 🔹مشخص نیست چرا سانسور شدید آماری را حاکم کرده‌اند؟ 🔹همه ساله همایش پولی و مالی برگزار می‌کردند و طی آن، آمار اقتصادی ارائه می‌شد، اما حتی از آن هم خبری نیست. 🔹عرصه امروز عرصه تقابل اراده‌هاست. اراده 'باید بتوانیم' و 'می‌توانیم'، و اراده 'مگر می‌شود بتوانیم؟' و 'نمی‌توانیم' 🔹بیش از دوسوم جمعیت ایران متولدین پس از انقلاب هستند، این یعنی کشور جوان ما آماده جهشی تاریخی است 🔹با کمک جوانان گام دومی می‌توانیم کشور را از خودتحریمی داخلی نجات دهیم 🔹جهان دوقطبی کمونیسم و لیبرالیسمِ ۴۰ سال قبل، امروز به دو قطب انقلاب اسلامی و لیبرالیسم شده است. امام اگر فقط در کنج حوزه می‌نشست و قیام نمی‌کرد، آیا قطب انقلاب اسلامی در عالم به وجود می‌آمد؟ 🔹یک روز، غصه‌ی ما در تهران، سفارت آمریکا بود و امروز غصه‌ی آمریکا در دنیا، ما هستیم. آیا این اتفاقات نشانه‌ی قدرت مکتب ما نیست؟ @iranfnews"
13620,siasattalkh,152107,1396/11/11 10:43:57,,photo,107182,"ترامپ در نطق سالانه اعلام وضعیت امریکا: وقتی مردم ایران علیه جنایات دیکتاتوری فاسدشان به پا خاستند، من ساکت نماندم. امریکا در کنار مردم ایران در مبارزه شجاعانه‌شان برای آزادی می‌ایستد  @siasattalkh✌️"
152636,akharinkhabar,3319415,1397/10/05 11:21:23,,photo,203143,♦️فرصت‌طلبی سه میلیاردی کارمند پست بانک   🔸جزئیات بیشتر در 'آخرين خبر البرز'👇 https://t.me/joinchat/AAAAAD7vghTCfgcu5kChmg
100109,Khabar_Fouri,1444085,1397/01/22 08:42:36,,photo,284224,کنایه دلاری طنز بی قانون به جهانگیری. #مطبوعات ✅ @Khabar_Fouri
110022,akharinkhabar,3319415,1396/10/22 12:12:49,,text,199833,"♦️اخبار کوتاه  🔺وزارت خارجه ترکیه در اقدامی تلافی‌جویانه، درباره سفر اتباعش به  آمریکا هشدار صادر کرد و گفت احتمال بازداشت بی‌دلیل آنها در آمریکا وجود دارد  🔺ادامه اصلاحات در عربستان؛ زنان خارجی بالای 25 سال می‌توانند «بدون همراهی محرم» به عربستان سفر کنند  🔺سخنگوی گارد ساحلی ژاپن: مقامات چینی پیشهاد گارد ساحلی ژاپن برای کمک به نفتکش ایرانی را رد کردند  🔺کواکبیان: اگر ترامپ تعلیق تحریم‌ها را امضا نکند قطعا ایران در زمینه هسته‌ای به جای اولش برمی‌گردد/ تمامی محدودیت‌هایی که خودمان برای خودمان ایجاد کردیم را از مراکز هسته‌ای و سایت‌ها بر می‌داریم  🔺مطهری: بنیاد مستضعفان و ستاد اجرایی فرمان امام(ره) جزء مالیات دهندگان هستند/تاکید من بر روی مالیات آستان قدس است  @Akharinkhabar"
10801,sedaiemardom,404297,1397/01/28 15:18:49,,text,587102,"🔴 واردات تخم‌مرغ متوقف شد/ قیمت هر شانه تخم مرغ باید بین ۱۴ هزار تا ۱۷ هزار و ۷۰۰ تومان شود 🆔@Sedaiemardom رضا ترکاشوند مدیرعامل اتحادیه سراسری مرغداران مرغ تخم‌گذار:   💠 واردات تخم‌ مرغ در پی بهبود وضعیت تولید و عرضه فراوان این محصول متوقف شد.  💠 با توجه به قیمت حدود ۵۵۰۰ تا ۵۷۰۰ تومانی هر کیلوگرم تخم‌مرغ در مرغداری و حداکثر سود منطقی و قانونی ۲۳ درصدی تا بازار، هر شانه تخم‌مرغ نهایتا باید ۱۴ هزار تا ۱۷ هزار و ۷۰۰ تومان در بازار فروخته شود."
164245,Khabar_Fouri,1434298,1398/06/30 09:02:41,,photo,155237,"واکنش تند ولی الله شجاع پوریان به گفته های حمید رسایی: 🔹آقای رسایی اگر حرفت را پس نگیری و از پروانه سلحشوری عذرخواهی نکنی، نیمه‌ جانی ازآن زمان داریم، که از زمان صدام باقی مانده است و آنرا برای ساکت کردن تو و امثال تو که در مقابل ایثار و شهادت قد علم کرده‌ای به درگاه حق تقدیم می‌کنیم. /روزنامه همدلی #سیاسی  ✅ @Khabar_Fouri"
115724,akharinkhabar,3319415,1396/12/06 23:05:41,,photo,193476,♦️زلزله ای به قدرت ۷.۵ در مقیاس ریشتر کشور پاپوا گینه نو را لرزاند.   🔹این زلزله نگرانی از وقوع یک فاجعه طبیعی در اقیانوسیه را افزایش داده است./ مهر @akharinkhabar
77030,donya_music,348284,1397/08/20 05:25:57,,photo,116717,🍹يک ليوان آب هويج بيش از 8 برابر نياز روزانه‏ افراد به ويتامين a را تامين مي‏کند.  ✅ويتامين a براي رشد اندام‏ها و استخوان‏ها لازم است و براي حفظ قدرت بينايي مهم است join➡️ @donya_music ⬅️
138386,esteghlalpage,2037398,1397/11/24 16:44:28,,text,170720,"🔵مدیران استقلال به دنبال شکستن طلسم یادگار امام(ره)  🔹در سال‌های گذشته استقلال و پرسپولیس در تبریز و مخصوصا دیدار با تراکتورسازی هیچ هواداری در ورزشگاه یادگار امام(ره) نداشتند و همین امر باعث ناراحتی مسئولان استقلال شده است.  🔹آنها قصد دارند روز جمعه طبق قانون، 10 درصد از هوادارانشان را در ورزشگاه جای دهند تا به تشویق تیم استقلال بپردازند اما شرایط در ورزشگاه یادگار امام به گونه‌ای است که هنوز مدیران آبی نتوانسته‌اند قسمتی از سکوها را به هواداران استقلالی اختصاص دهند.  🆔 @EsteghlalPage"
14902,siasattalkh,152107,1396/12/06 19:12:21,,video,109077,تجمع دست‌فروشان در اعتراض به بیکاری در کرج   @siasattalkh✌️
110694,akharinkhabar,3304757,1396/10/27 18:10:23,,text,232807,"🔺محمد رضا عارف:  🔹کسانی که پرچم ایران را آتش زده‌اند در صف مردم نمی‌دانیم.  🔹تمامی مسئولان متفق‌القول هستند که شروع اعتراضات مردمی بوده است و به رسمیت شناخته می‌شود. اما در ادامه کار دشمنان و مخالفین نظام سعی کردند موج سواری کنند.  🔹با توجه به گزارش‌های محرمانه، اینکه دشمنان قصد موج سواری داشتند را رد نمی کنم.  🔹در مجمع تهران به طور جدی موضوع حمایت از تجمعات قانونی را مورد پیگیری قرار دادیم/ از استاندار خواسته‌ایم مکان خاصی را برای این قبیل تجمعات در نظر بگیرد. @akharinkhabar"
120352,esteghlalpage,2078762,1397/07/21 12:55:24,,text,112805,🔵 هیئت مدیره استقلال و پرسپولیس تغییر نمی‌کند  🔹به نظر می رسد حضور بازنشسته ها به عنوان اعضای هیئت رئیسه منع قانونی ندارد و این قانون علاوه بر فدراسیون ها شامل باشگاه ها نیز خواهد شد.به این ترتیب با اجرای این قانون تغییری در هیئت مدیره باشگاه ها از جمله ۲ باشگاه استقلال و پرسپولیس صورت نخواهد گرفت.  🆔 @EsteghlalPage
110002,Perspolis,1972473,1398/06/04 22:02:48,,photo,125991,"در طول تنها یک سال ۹ تا بازیکن خارجی خریدن  عدالت از نظر رئیس مجمع کیسه یعنی یه تیمو از خرید بازیکن خارجی محروم کنی، ولی واسه تقویت یه تیم با بازیکن خارجی ردیف بودجه تعیین کنی  🔴 @Perspolis"
37504,akhbar_montakhab,1450706,1397/11/21 11:25:48,,photo,105364,🔺آيت الله مکارم‌شیرازی: بانک‌ها مردم را بیچاره و به خاک سیاه نشانده‌اند/ در شرایط سخت اقتصادی خیرین باید به کمک نیازمندان و محرومان بشتابند @akhbar_montakhab 📲در اپلیکیشن اخبار منتخب بخوانید 👇🏿 https://goo.gl/JkF3W6
117443,akhbarefori,2122405,1397/01/22 18:33:59,,text,342557,"🚩 ولایتی: ایران و سوریه هیچ وقت مانند امروز قوی نبوده‌اند   🔹کسانی که به سقوط دولت سوریه یک هفته بعد از بحران دل بسته بودند، امروز بعد از هفت سال می‌بینند که نه تنها سوریه سقوط نکرده، بلکه قوی‌تر شده است. 🔹ما می‌بینیم که نظام عربستان سعودی از پول و حمایت خارجی برخوردار است، اما فاقد اصالت است، بنابراین عربستان ذلیل و خوار شده و شاهد درگیری بین شاهزادگان بر سر حکومت و قدرت است.  @AkhbareFori"
47839,khabarfouri,3407681,1398/05/30 09:02:25,,text,361857,"🔺️ نرخ بیکاری جوانان ایران ۲ برابر جوانان جهان است   🔹️بنا بر گزارش های  موجود ،درحالی‌که نرخ بیکاری جوانان ۱۵ تا ۲۴ ساله ایرانی در پایان سال ۹۷ به حدود ۲۷/۳ درصد رسیده این میزان در سطح جهان حدود ۱۲ درصد است. به عبارت دیگر نرخ بیکاری جوانان ایرانی ۲/۲ برابر میانگین جهانی است./نود اقتصادی   @khabarfouri"
136987,Khabare_vije,2282723,1397/11/14 23:27:02,,photo,126735,"🔺پشت نویسی جالب یک آمبولانس سردخانه  'ظلم نکن، آخرش مسافر خودمی'   @khabare_vijeh100"
14663,divunekhoone1,173958,1396/11/04 04:38:41,,photo,128239,١٢ شتر به خاطر انجام عمل زيبايى بوتاكس از حضور در مسابقات 'شترهاى زيباى عربستان' محروم شدن!😐 شتر شايسته عربستان😂  يا همون ميس شتر آو عربستان😂😂  🆑 @Divunekhoone1
60468,Esteghlal,1056040,1397/02/31 21:29:07,,text,100877,‏به وریا بگید جای نفوذ کردن و گل زدن ‏بره بلژیک نیمکت نشین شه  ‏به کاوه بگید جای کلی گل زدن تو اولین فصلش تو بلژیک به جاش بره لیگ پر قدرت روسیه و کل فصل پنج تا گل بزنه  ‏به حسین حسینی هم بگید جا زدن رکورد کلین‌شیت بره لیگ پرتغال رو نیمکت بشینه  ‏شاید اینجوری دعوت شدن تیم‌ملی 😏  ⭐️💙⭐️ @Esteghlal
115486,esteghlalpage,2078762,1397/06/20 00:05:43,,text,143323,آقای فتاحی شرف داشته باش و دروغ نگو.گرشاسبی مدیر تیم حکومت علنا اعتراف کرد حاضره بعد از اتمام محرومیت تیمش بازی سوپرجام رو انجام بده. ‎ 🆔 @EsteghlalPage
44618,sedaiemardom,405602,1398/05/11 14:13:24,,photo,219329,"🔴 مطابق آمارهای رسمی، در حکومت ولی‌فقیه یک تریلیون و ۲۸۱ میلیارد تومان تنها برای هشت ماه صداوسیما، ۱۵۲۰ میلیارد تومان سالانه برای نهادهای تبلیغاتی و ایدئولوژیک (از ستاد اقامه نمازجمعه تا راهیان نور) و ۲۴۰۰ میلیارد تومان برای حوزه‌های علمیه و صدها میلیارد دیگر برای جمعی از سلبریتی‌ها، رسانه‌ها و قلم به دستان اجاره‌ای هزینه می‌شود، تنها با این هدف که آنها در بزنگاه‌های مهم تاریخی مانند ایام رأی‌گیری، مردم را برای رأی دادن به #امپراطوری_غارت بسیج کنند.  #رای_بی_رای #شورای_هماهنگی_رسانه‌های_مردمی_و_مبارز  🆔 @Sedaiemardom"
32465,Gilin_Gilin,2634621,1397/12/18 18:25:00,,photo,120490,وضعیت زندگی زلزله‌زدگان سرپل ذهاب در دمای منفی ۸ درجه !  + این خبر امروز رو بذارید کنار خبر آخرین اختلاس تا این لحظه ...  Join → @Gilin_Gilin
3996,sedaiemardom,404297,1396/11/10 02:08:12,,text,487571,"‌🔴 رفراندوم برای چی، توسط چه کسانی و چه زمانی؟ (✍️: حشمت الله طبرزدی) 🆔@Sedaiemardom رفراندوم باید توسط نمایندگان واقعی مردم- نه مثل دوران آیت‌اله خمینی در پس از انقلاب- برگزار شود و این امر مهم در مرحله‌ای از انقلاب دموکراتیک و برای گذار مسالمت‌آمیز از حکومت فعلی به حکومت بعدی صورت می‌گیرد و آری یا نه به جمهوری اسلامی را به رای می‌گذارد.  خواهید پرسید، این نمایندگان واقعی مردم چگونه انتخاب خواهند شد؟  پاسخ این است که با رای آزاد مردم و زیر نظر سازمان ملل.  ما می‌گوییم باید یک دولت موقت به رای مستقیم مردم و زیر نظر سازمان ملل به وجود بیاید تا رفراندوم آری یا نه به جمهوری اسلامی را بر گزار کند و در اقدامی دموکراتیک، قانونی و مسالمت‌آمیز از حکومت مستقر گذر کنیم. هیچ فرد یا گروهی صلاحیت ندارد بدون مراجعه‌ی مستقیم به آرای مردم در انتخاباتی دموکراتیک، خودش را مرجع تشکیل «دولت موقت» یا «شورای انقلاب» بنامد و برای مردم تصمیم‌گیری کند.  تجربه‌ی انقلاب ۵۷ به ما آموخت که تشکیل شورای انقلاب یا دولت موقت، فقط ترفندی است برای ربودن نتیجه‌ی مبارزات مردم ایران است و نباید دوباره تکرار شود.  هر شورا یا ائتلافی، فقط زمانی حق تصمیم‌گیری ولو به صورت موقت، برای همه‌ی مردم را دارد که با مراجعه به آرای عمومی در انتخاباتی زیر نظر سازمان ملل، با به دست آوردن رای اکثریت، کسب مشروعیت سیاسی کند.  از رژیم کنونی با انقلاب دموکراتیک ملی، به دولت موقت، بر گرفته از آرای مستقیم مردم زیر نظر سازمان ملل، انتقال خواهیم یافت.  هیچ نیروی غیر انتخابی زیر عنوان «شورای موقت» یا «دولت موقت» را نمی‌پذیریم. همه چیز باید به رای مستقیم مردم باشد.  #انقلاب_بیداری"
